Year,State,Pmdi1_May,Pmdi1_Jun,Pmdi1_Jul,Pmdi1_Aug,Pmdi1_Sep,Pmdi1_Oct
1903,KANSAS,4.26,3.55,3.42,4.02,3.16,3.67
1904,KANSAS,1.72,3.02,4.15,4.45,4.19,3.41
1905,KANSAS,2.34,2.06,2.96,2.31,2.85,2.56
1906,KANSAS,0.25,0.21,1.68,2.08,2.36,2.40
1907,KANSAS,0.32,1.23,2.16,2.23,1.48,2.00
1908,KANSAS,0.44,2.42,2.74,3.24,2.07,2.95
1909,KANSAS,1.22,2.29,3.19,2.11,2.07,1.65
1910,KANSAS,0.23,-1.02,-1.62,-0.10,-0.29,-1.65
1911,KANSAS,-2.48,-3.90,-3.78,-3.36,-3.33,-3.30
1912,KANSAS,0.26,0.80,0.84,1.31,1.20,1.13
1913,KANSAS,-1.64,-2.17,-3.06,-4.53,-3.24,-2.96
1914,KANSAS,-1.16,-1.51,-1.90,-1.98,-2.19,-1.92
1915,KANSAS,2.77,3.68,4.71,5.63,6.11,5.64
1916,KANSAS,3.19,4.00,2.47,1.09,0.25,-0.38
1917,KANSAS,-1.41,-2.37,-3.06,-1.15,-1.54,-2.40
1918,KANSAS,-2.02,-3.48,-3.65,-4.10,-3.60,-1.84
1919,KANSAS,2.12,2.38,1.93,0.36,-0.31,-0.18
1920,KANSAS,-0.48,-1.23,-1.06,0.73,0.78,1.00
1921,KANSAS,-0.98,-0.58,-0.41,0.36,-0.32,-1.03
1922,KANSAS,1.77,0.42,1.67,0.05,-1.07,-1.42
1923,KANSAS,0.82,1.73,1.91,1.69,2.19,3.31
1924,KANSAS,1.95,0.52,0.99,1.51,1.44,0.28
1925,KANSAS,-1.98,-2.26,-2.37,-2.18,-1.46,-1.15
1926,KANSAS,-2.53,-2.85,-3.07,-3.25,-1.17,-0.19
1927,KANSAS,-0.28,1.49,1.90,3.72,3.62,3.18
1928,KANSAS,1.90,3.30,3.92,4.01,2.73,3.17
1929,KANSAS,3.98,3.81,3.91,2.92,2.09,3.11
1930,KANSAS,-0.19,-0.17,-0.82,-1.01,-1.03,0.73
1931,KANSAS,0.51,-0.66,-0.99,-0.79,-1.32,-1.61
1932,KANSAS,-1.10,0.58,0.46,0.25,-0.44,-0.78
1933,KANSAS,-2.25,-3.74,-4.24,-2.32,-3.35,-3.77
1934,KANSAS,-5.19,-5.89,-7.05,-7.81,-6.16,-6.52
1935,KANSAS,-1.97,-0.52,-1.93,-2.47,-2.05,-1.44
1936,KANSAS,-2.93,-3.91,-5.10,-6.23,-4.64,-4.14
1937,KANSAS,-4.39,-4.49,-4.56,-5.13,-5.17,-4.97
1938,KANSAS,-0.97,-0.59,-0.37,-1.25,-1.84,-3.28
1939,KANSAS,-3.62,-3.44,-4.27,-4.07,-5.11,-5.50
1940,KANSAS,-3.98,-4.28,-4.85,-3.88,-4.06,-4.42
1941,KANSAS,-0.15,1.52,1.69,1.99,2.67,4.38
1942,KANSAS,2.78,3.98,3.57,4.04,4.45,4.62
1943,KANSAS,2.65,2.91,2.81,1.28,0.66,0.15
1944,KANSAS,3.45,2.36,3.22,4.05,3.15,2.60
1945,KANSAS,3.93,4.08,4.20,3.85,4.40,3.19
1946,KANSAS,-1.23,-1.64,-2.20,-2.34,-1.56,0.63
1947,KANSAS,2.76,3.08,2.70,1.15,-1.06,-2.04
1948,KANSAS,-1.25,0.87,2.04,2.34,0.83,-0.23
1949,KANSAS,2.83,3.39,3.69,3.65,3.36,3.30
1950,KANSAS,-1.66,-2.05,1.97,3.55,2.87,1.88
1951,KANSAS,2.86,4.84,5.96,6.40,7.13,6.79
1952,KANSAS,3.73,0.48,-1.37,-1.94,-3.24,-3.81
1953,KANSAS,-3.56,-4.49,-4.58,-4.80,-5.24,-5.08
1954,KANSAS,-3.76,-4.39,-5.23,-5.07,-5.55,-4.85
1955,KANSAS,-4.65,-4.37,-5.11,-5.67,-4.70,-4.84
1956,KANSAS,-6.44,-7.21,-7.20,-7.59,-8.20,-7.98
1957,KANSAS,-0.51,2.34,2.26,1.46,2.38,2.69
1958,KANSAS,2.38,2.55,4.36,4.33,4.50,2.94
1959,KANSAS,1.56,0.23,1.43,1.33,1.94,3.28
1960,KANSAS,2.45,2.50,2.47,2.78,1.89,2.48
1961,KANSAS,2.36,2.35,2.91,3.33,4.26,4.36
1962,KANSAS,1.00,2.12,3.40,3.29,3.86,2.92
1963,KANSAS,-2.67,-2.87,-2.85,-3.25,-2.72,-3.28
1964,KANSAS,-3.92,-3.79,-4.45,-4.11,-4.05,-4.36
1965,KANSAS,-2.17,1.25,1.77,2.15,3.42,3.16
1966,KANSAS,-1.72,-1.92,-2.00,-1.41,-1.74,-2.17
1967,KANSAS,-3.47,-0.27,0.93,0.57,1.89,1.96
1968,KANSAS,-0.56,-1.17,0.25,1.14,-0.35,1.13
1969,KANSAS,2.22,2.59,2.88,3.08,3.00,3.85
1970,KANSAS,0.87,1.30,0.43,-0.95,0.92,1.08
1971,KANSAS,-0.41,-0.59,0.76,-0.54,-0.71,0.51
1972,KANSAS,-0.18,-1.01,0.68,1.30,1.09,0.89
1973,KANSAS,4.60,2.75,3.98,2.97,5.41,5.68
1974,KANSAS,3.09,2.61,0.56,1.44,0.58,1.12
1975,KANSAS,2.02,2.75,1.65,1.56,0.55,-1.28
1976,KANSAS,0.98,-0.46,-0.49,-1.29,-1.12,-0.59
1977,KANSAS,-0.79,-0.45,-1.07,1.53,1.65,1.27
1978,KANSAS,0.61,0.42,-0.39,-0.76,-0.98,-1.65
1979,KANSAS,0.77,1.12,2.07,2.04,-0.13,1.52
1980,KANSAS,1.51,-0.24,-2.04,-2.03,-2.79,-2.67
1981,KANSAS,-1.54,-1.75,-0.70,-0.57,-0.88,-0.28
1982,KANSAS,1.80,2.33,2.61,2.49,1.34,0.79
1983,KANSAS,2.99,3.09,1.53,-1.34,-2.10,-0.96
1984,KANSAS,1.75,2.02,0.81,-1.21,-1.73,0.85
1985,KANSAS,1.69,1.98,2.15,2.91,3.52,4.08
1986,KANSAS,1.81,1.61,2.35,2.91,3.61,4.36
1987,KANSAS,4.83,4.44,4.32,4.72,3.90,2.92
1988,KANSAS,0.91,-1.17,-1.23,-1.82,-1.82,-2.24
1989,KANSAS,-3.85,-2.11,-1.96,-0.07,0.92,0.40
1990,KANSAS,1.49,0.45,0.99,1.12,-0.54,-0.94
1991,KANSAS,-2.26,-2.86,-3.34,-3.49,-3.81,-3.85
1992,KANSAS,-1.69,0.21,2.27,3.02,2.77,2.72
1993,KANSAS,5.67,5.45,7.46,7.80,7.90,7.18
1994,KANSAS,2.79,1.38,2.34,1.60,0.14,0.10
1995,KANSAS,3.86,4.07,4.09,3.88,3.39,1.50
1996,KANSAS,-1.66,-1.66,-0.67,1.37,2.07,1.75
1997,KANSAS,2.08,2.20,2.38,3.19,3.02,3.37
1998,KANSAS,1.61,0.57,2.56,1.53,1.00,2.62
1999,KANSAS,4.29,4.60,4.32,4.15,4.10,2.44
2000,KANSAS,-0.43,-0.06,0.48,-1.36,-2.18,-0.27
2001,KANSAS,1.58,1.57,1.80,0.98,1.57,0.37
2002,KANSAS,-2.06,-2.64,-3.37,-3.37,-3.79,-0.69
2003,KANSAS,-0.35,0.35,-0.85,-0.31,-0.30,-0.91
2004,KANSAS,-1.55,-0.04,1.57,1.63,0.81,1.00
2005,KANSAS,0.78,2.06,2.27,3.26,1.93,2.31
2006,KANSAS,-2.26,-2.69,-3.15,-1.90,-2.28,-1.87
2007,KANSAS,2.20,2.81,3.01,2.63,1.50,1.88
2008,KANSAS,2.53,2.74,2.92,3.21,3.57,4.68
2009,KANSAS,3.15,3.50,3.81,4.16,4.26,5.06
2010,KANSAS,3.72,3.64,4.07,3.84,3.57,1.78
2011,KANSAS,-1.39,-1.96,-2.48,-2.60,-2.99,-3.00
2012,KANSAS,-1.82,-2.80,-3.80,-3.90,-3.94,-3.93
2013,KANSAS,-2.30,-2.93,-1.86,0.16,-0.07,0.76
2014,KANSAS,-2.73,-0.12,-0.23,-0.12,0.14,0.70
2015,KANSAS,1.87,1.28,2.20,2.26,0.51,-0.06
2016,KANSAS,2.66,1.03,2.27,3.00,3.26,2.15
2017,KANSAS,2.59,1.91,1.31,1.87,1.04,1.48
2018,KANSAS,-2.67,-3.05,-2.84,-1.66,-1.28,2.13
2019,KANSAS,5.57,5.39,4.93,6.25,4.84,4.78
2020,KANSAS,3.14,1.80,3.36,2.30,,
1895,MINNESOTA,-0.70,0.82,0.88,-0.51,0.70,-0.50
1896,MINNESOTA,3.49,2.59,1.00,-0.62,-0.95,-0.01
1897,MINNESOTA,0.23,1.67,4.29,3.25,1.29,0.54
1898,MINNESOTA,-1.51,-0.63,-0.27,-0.26,-1.30,1.00
1899,MINNESOTA,1.70,2.40,2.23,3.28,2.31,3.22
1900,MINNESOTA,-2.39,-3.78,-2.94,0.28,2.98,3.46
1901,MINNESOTA,-1.27,0.68,0.25,-1.31,0.05,0.31
1902,MINNESOTA,1.01,0.38,1.25,1.75,1.28,1.53
1903,MINNESOTA,3.31,0.91,2.59,3.45,4.74,5.21
1904,MINNESOTA,2.42,2.54,3.08,2.17,2.76,3.42
1905,MINNESOTA,3.02,4.43,4.86,4.65,4.59,4.77
1906,MINNESOTA,3.80,3.93,3.09,3.64,3.45,3.49
1907,MINNESOTA,2.92,2.76,2.64,2.88,3.09,2.46
1908,MINNESOTA,3.50,4.20,3.53,2.06,0.37,-0.15
1909,MINNESOTA,0.33,-0.37,0.31,0.85,0.92,1.02
1910,MINNESOTA,-2.16,-3.58,-4.46,-4.98,-4.87,-5.43
1911,MINNESOTA,-7.16,-7.11,-6.57,-5.06,-3.90,-1.66
1912,MINNESOTA,0.43,-1.12,-0.22,0.61,1.06,-0.45
1913,MINNESOTA,-0.13,-1.33,1.31,0.46,1.22,1.85
1914,MINNESOTA,0.42,2.63,1.31,1.81,1.93,1.37
1915,MINNESOTA,0.86,2.64,2.94,1.34,1.28,1.26
1916,MINNESOTA,3.62,4.04,2.38,2.65,2.75,2.22
1917,MINNESOTA,0.22,-0.76,-1.14,-1.68,-1.88,-0.94
1918,MINNESOTA,-1.38,-3.10,-2.91,-2.31,-2.91,-2.29
1919,MINNESOTA,0.02,1.10,1.84,1.82,0.57,1.28
1920,MINNESOTA,2.09,2.82,2.60,0.57,-0.01,-0.96
1921,MINNESOTA,-1.03,-2.19,-2.17,-2.72,-1.14,-2.47
1922,MINNESOTA,-1.77,-2.60,-2.90,-3.78,-4.23,-4.69
1923,MINNESOTA,-3.07,-2.75,-2.87,-3.14,-3.31,-3.70
1924,MINNESOTA,-5.24,-4.06,-3.60,-1.22,0.75,0.52
1925,MINNESOTA,-0.93,1.44,1.08,-0.74,0.51,0.50
1926,MINNESOTA,-1.66,-1.71,-1.92,-1.76,1.45,1.90
1927,MINNESOTA,2.98,2.33,1.78,0.36,-0.30,-0.99
1928,MINNESOTA,-1.21,-0.29,0.69,2.03,2.31,2.67
1929,MINNESOTA,0.56,-1.38,-2.00,-2.86,-1.39,-0.92
1930,MINNESOTA,-0.61,-0.72,-1.83,-3.46,-2.86,-2.95
1931,MINNESOTA,-3.70,-3.56,-4.06,-4.19,-4.38,-4.13
1932,MINNESOTA,-0.74,-2.07,-2.56,-2.52,-3.27,-3.17
1933,MINNESOTA,-1.40,-3.09,-3.75,-4.62,-4.54,-4.40
1934,MINNESOTA,-7.23,-7.08,-7.51,-7.79,-6.59,-5.82
1935,MINNESOTA,-2.24,-0.61,-0.10,1.33,0.08,0.28
1936,MINNESOTA,-0.50,-1.65,-3.69,-4.24,-4.64,-5.00
1937,MINNESOTA,-1.36,-2.08,-1.73,-1.32,-1.88,-2.33
1938,MINNESOTA,2.50,1.25,0.70,-1.18,-1.12,-2.20
1939,MINNESOTA,-2.26,-1.05,-2.20,-1.66,-2.55,-2.46
1940,MINNESOTA,-3.90,-3.83,-3.76,-2.61,-3.85,-3.33
1941,MINNESOTA,0.06,0.91,-0.64,0.40,1.58,2.15
1942,MINNESOTA,2.54,1.98,2.04,2.83,3.52,2.90
1943,MINNESOTA,2.81,3.39,3.18,3.24,2.26,1.70
1944,MINNESOTA,1.51,3.00,3.37,4.31,3.68,1.92
1945,MINNESOTA,2.96,3.18,3.30,3.22,3.58,2.24
1946,MINNESOTA,0.76,2.45,0.97,-0.76,1.27,2.71
1947,MINNESOTA,2.25,3.07,1.00,0.08,0.13,-1.44
1948,MINNESOTA,-1.05,-1.09,-0.60,-1.08,-2.06,-2.71
1949,MINNESOTA,-2.07,-2.05,1.32,-0.86,-1.27,0.45
1950,MINNESOTA,3.18,1.78,2.01,0.25,-0.34,-0.80
1951,MINNESOTA,0.46,1.48,1.43,2.56,3.08,3.45
1952,MINNESOTA,-1.08,-0.63,1.45,2.26,-0.43,-1.81
1953,MINNESOTA,1.40,2.32,2.61,3.00,1.85,-0.49
1954,MINNESOTA,2.28,1.59,0.82,-0.05,0.36,0.14
1955,MINNESOTA,-2.40,-2.61,-0.33,-1.02,-1.39,-2.15
1956,MINNESOTA,-1.17,-1.94,-0.80,0.95,-0.58,-1.54
1957,MINNESOTA,0.07,1.87,2.11,2.25,2.62,2.50
1958,MINNESOTA,-1.83,-1.54,-0.46,-1.11,-1.54,-2.04
1959,MINNESOTA,-0.56,-1.26,-1.69,0.20,0.41,1.39
1960,MINNESOTA,1.45,1.17,-0.15,0.51,-0.40,-0.85
1961,MINNESOTA,-0.01,-2.28,-1.73,-2.84,-0.71,-0.81
1962,MINNESOTA,2.08,1.16,2.93,2.90,3.07,1.82
1963,MINNESOTA,0.10,-0.42,0.53,0.01,-0.53,-1.60
1964,MINNESOTA,-2.45,-1.97,-2.72,-0.54,1.67,0.09
1965,MINNESOTA,3.21,3.00,3.00,2.45,4.65,4.26
1966,MINNESOTA,3.16,1.64,0.92,2.48,0.77,0.85
1967,MINNESOTA,-0.08,1.82,0.19,-1.16,-2.08,-2.28
1968,MINNESOTA,-2.08,0.81,2.46,1.77,2.83,4.09
1969,MINNESOTA,2.09,2.01,2.93,0.61,-0.17,0.72
1970,MINNESOTA,2.05,0.71,-0.30,-1.99,-1.94,1.28
1971,MINNESOTA,0.67,1.09,1.37,-0.20,-0.15,2.82
1972,MINNESOTA,2.48,0.51,3.00,2.87,2.94,3.10
1973,MINNESOTA,2.09,0.25,0.94,0.86,2.17,2.44
1974,MINNESOTA,2.75,1.58,0.09,1.47,-0.42,-1.16
1975,MINNESOTA,0.29,2.17,0.45,-0.01,-0.67,-1.31
1976,MINNESOTA,-2.14,-2.16,-2.95,-4.25,-5.09,-5.46
1977,MINNESOTA,-6.87,-6.52,-5.99,-3.91,-1.05,0.69
1978,MINNESOTA,1.24,0.66,2.64,2.92,2.90,1.23
1979,MINNESOTA,3.46,3.45,3.30,3.54,1.64,3.21
1980,MINNESOTA,-2.46,-2.80,-3.59,-0.98,0.18,0.14
1981,MINNESOTA,-2.14,0.30,1.14,1.65,0.96,2.29
1982,MINNESOTA,2.35,0.89,1.93,1.11,1.72,2.96
1983,MINNESOTA,2.25,2.99,2.56,2.14,2.39,2.55
1984,MINNESOTA,1.30,3.12,1.68,-0.39,-0.93,2.39
1985,MINNESOTA,2.64,2.70,2.43,3.17,4.02,4.07
1986,MINNESOTA,3.28,3.32,4.12,4.12,5.48,4.69
1987,MINNESOTA,-1.11,-2.99,-0.96,-1.53,-2.24,-2.71
1988,MINNESOTA,-4.86,-6.22,-7.06,-5.34,-4.29,-5.00
1989,MINNESOTA,-2.99,-2.90,-3.31,-2.70,-2.68,-3.17
1990,MINNESOTA,-2.90,-0.39,0.33,-0.17,-1.30,-0.50
1991,MINNESOTA,1.46,1.50,2.11,0.55,2.40,2.31
1992,MINNESOTA,0.43,0.24,1.64,2.49,2.54,1.94
1993,MINNESOTA,2.79,3.75,5.24,5.75,5.37,4.62
1994,MINNESOTA,1.61,1.89,2.96,3.01,2.96,3.14
1995,MINNESOTA,2.65,-0.38,1.83,2.41,2.40,3.33
1996,MINNESOTA,2.20,1.42,1.58,0.27,-0.01,1.30
1997,MINNESOTA,1.70,1.22,2.79,2.33,1.54,1.91
1998,MINNESOTA,0.06,1.81,1.48,0.51,-1.18,1.07
1999,MINNESOTA,2.42,2.33,3.30,3.53,3.78,3.25
2000,MINNESOTA,0.30,1.48,1.97,1.84,0.20,-0.20
2001,MINNESOTA,3.85,3.17,2.69,1.34,0.32,0.14
2002,MINNESOTA,-0.85,1.01,1.70,2.75,2.21,3.15
2003,MINNESOTA,0.69,1.33,1.09,-1.35,-1.35,-1.91
2004,MINNESOTA,1.11,0.20,1.46,1.47,2.62,3.17
2005,MINNESOTA,2.24,2.84,1.50,1.13,2.31,2.67
2006,MINNESOTA,1.30,-0.84,-2.49,-2.54,-2.21,-2.50
2007,MINNESOTA,-1.44,-2.17,-2.84,-2.18,-0.93,1.81
2008,MINNESOTA,1.56,1.97,1.46,-0.57,-0.24,1.42
2009,MINNESOTA,0.51,-0.34,-0.82,-0.26,-1.83,1.85
2010,MINNESOTA,-1.31,0.59,1.43,1.89,3.97,3.98
2011,MINNESOTA,4.32,4.04,4.23,2.88,0.64,-1.35
2012,MINNESOTA,-0.48,-0.21,-0.62,-2.24,-3.77,-3.57
2013,MINNESOTA,2.15,2.61,1.82,-0.70,-1.59,0.27
2014,MINNESOTA,1.88,3.83,2.76,2.67,1.73,0.47
2015,MINNESOTA,0.51,0.30,1.22,1.54,0.54,0.44
2016,MINNESOTA,0.82,0.47,2.65,3.51,4.28,4.25
2017,MINNESOTA,3.21,2.45,1.28,3.01,3.13,3.67
2018,MINNESOTA,0.73,1.94,2.43,1.76,2.60,3.69
2019,MINNESOTA,4.79,3.72,4.29,3.90,5.21,6.50
2020,MINNESOTA,2.21,1.24,2.23,2.41,,
1895,MISSOURI,-1.65,-0.15,1.98,2.18,1.42,-0.43
1896,MISSOURI,1.97,1.42,2.29,2.14,2.29,2.06
1897,MISSOURI,2.04,2.61,2.20,1.33,-1.49,-2.72
1898,MISSOURI,2.87,2.88,3.55,3.35,4.04,4.46
1899,MISSOURI,2.86,1.95,2.60,1.89,0.38,-0.41
1900,MISSOURI,-1.51,-0.67,0.65,0.62,0.83,0.91
1901,MISSOURI,-1.44,-2.38,-3.47,-4.19,-4.59,-5.04
1902,MISSOURI,-4.55,-2.28,-1.07,1.71,2.73,2.32
1903,MISSOURI,2.97,2.34,2.29,2.88,2.93,2.78
1904,MISSOURI,2.51,3.01,3.32,3.87,3.68,1.97
1905,MISSOURI,-0.78,-1.53,1.81,2.31,3.48,4.12
1906,MISSOURI,-0.21,0.04,0.30,1.24,1.60,0.24
1907,MISSOURI,1.49,2.09,2.29,2.33,1.05,0.60
1908,MISSOURI,2.29,2.54,2.42,2.33,0.87,-0.03
1909,MISSOURI,1.33,1.47,2.35,-0.18,0.19,-0.19
1910,MISSOURI,0.66,0.49,1.54,1.36,1.92,1.67
1911,MISSOURI,-1.43,-2.52,-2.67,-2.32,-0.84,-0.72
1912,MISSOURI,0.71,1.12,0.54,0.98,0.45,0.60
1913,MISSOURI,-0.89,-1.51,-1.83,-3.12,-2.78,-1.46
1914,MISSOURI,-2.58,-3.42,-4.00,-3.81,-2.31,-1.15
1915,MISSOURI,0.28,1.65,2.47,4.30,4.61,3.14
1916,MISSOURI,2.24,3.04,0.81,0.10,-0.78,-1.79
1917,MISSOURI,-0.14,-0.13,0.01,1.09,0.69,-0.15
1918,MISSOURI,-1.23,-2.09,-2.96,-3.22,-2.09,-1.94
1919,MISSOURI,-0.50,0.49,-0.35,0.24,-0.29,1.49
1920,MISSOURI,1.21,-0.64,-0.71,0.55,0.74,0.60
1921,MISSOURI,-0.46,0.58,-0.57,0.68,1.40,0.66
1922,MISSOURI,0.82,-1.61,-0.10,-1.47,-1.81,-2.35
1923,MISSOURI,-0.47,0.35,0.31,0.45,0.59,0.85
1924,MISSOURI,-0.39,1.21,2.03,2.35,2.52,0.91
1925,MISSOURI,-1.61,-0.74,-1.02,-1.11,0.60,1.54
1926,MISSOURI,-1.06,-1.14,-1.27,0.57,2.11,2.78
1927,MISSOURI,4.62,4.69,4.69,5.23,4.82,4.91
1928,MISSOURI,0.79,4.09,3.32,3.92,3.08,2.84
1929,MISSOURI,4.22,4.26,4.05,3.11,2.29,3.40
1930,MISSOURI,-2.04,-2.06,-2.93,-3.58,-3.40,-3.19
1931,MISSOURI,-2.53,-3.18,-3.13,-1.70,-1.87,-1.97
1932,MISSOURI,-2.10,-1.88,-1.71,-0.27,-1.20,-0.73
1933,MISSOURI,1.42,-1.17,-1.76,-1.64,-1.63,-1.68
1934,MISSOURI,-4.52,-4.99,-6.14,-6.16,-3.30,-3.54
1935,MISSOURI,2.53,3.94,3.21,1.64,1.07,0.96
1936,MISSOURI,-2.62,-3.50,-4.66,-6.04,-3.26,-2.46
1937,MISSOURI,0.17,0.40,0.86,-0.08,-0.74,-1.00
1938,MISSOURI,1.25,1.26,1.19,-0.41,-1.20,-2.15
1939,MISSOURI,-0.18,0.83,0.06,1.04,-1.13,-1.75
1940,MISSOURI,-2.62,-2.30,-2.75,-0.73,-2.52,-3.12
1941,MISSOURI,-3.28,-3.09,-3.12,-3.22,-1.70,2.87
1942,MISSOURI,0.86,2.48,1.70,2.16,2.17,1.94
1943,MISSOURI,2.51,2.83,1.82,0.43,0.21,0.08
1944,MISSOURI,0.99,-0.84,-1.21,1.01,-0.05,-0.86
1945,MISSOURI,3.50,4.54,3.49,1.91,4.27,3.69
1946,MISSOURI,1.87,0.54,-0.39,0.97,0.01,-0.60
1947,MISSOURI,1.20,2.43,1.59,-0.73,-1.21,-1.32
1948,MISSOURI,-1.37,1.00,1.73,0.93,-0.48,-0.86
1949,MISSOURI,-0.61,0.85,1.68,1.62,2.07,2.92
1950,MISSOURI,2.60,2.27,2.81,4.05,3.33,1.35
1951,MISSOURI,0.10,2.62,3.35,3.96,4.49,4.57
1952,MISSOURI,1.38,-1.17,-1.74,-0.43,-1.85,-2.63
1953,MISSOURI,-2.11,-3.11,-3.77,-4.56,-5.29,-5.58
1954,MISSOURI,-6.90,-6.70,-7.13,-6.33,-6.57,-4.71
1955,MISSOURI,-3.34,-2.34,-2.43,-2.78,-2.86,-2.47
1956,MISSOURI,-3.92,-3.90,-1.81,-1.73,-3.25,-3.88
1957,MISSOURI,2.28,2.72,2.39,1.06,0.41,0.60
1958,MISSOURI,0.17,0.98,3.89,3.17,3.47,1.92
1959,MISSOURI,-0.65,-1.37,-0.65,-1.18,-0.14,0.90
1960,MISSOURI,0.62,0.44,0.63,0.41,-0.97,-0.80
1961,MISSOURI,2.18,1.32,2.63,2.32,3.28,3.03
1962,MISSOURI,-0.40,-0.86,-1.21,-1.78,-0.27,0.06
1963,MISSOURI,-1.95,-2.48,-1.87,-1.81,-2.54,-3.59
1964,MISSOURI,-2.86,-2.02,-2.05,-1.36,-1.04,-2.53
1965,MISSOURI,-1.80,-0.76,0.79,1.50,2.98,1.75
1966,MISSOURI,-0.07,-0.55,-0.84,-0.52,-0.55,-0.93
1967,MISSOURI,-0.50,1.20,1.37,0.08,0.41,2.09
1968,MISSOURI,0.83,-0.41,0.36,0.57,0.73,0.23
1969,MISSOURI,0.37,1.66,2.42,1.65,2.13,3.19
1970,MISSOURI,0.69,1.30,-0.41,0.53,2.55,3.11
1971,MISSOURI,-1.45,-1.90,-1.12,-1.82,-1.90,-2.26
1972,MISSOURI,-1.94,-2.52,-1.68,-1.94,-1.20,-0.51
1973,MISSOURI,4.75,3.86,4.21,2.74,3.80,3.90
1974,MISSOURI,3.47,3.05,1.27,2.73,2.70,2.22
1975,MISSOURI,2.02,1.48,0.01,0.66,1.39,-0.01
1976,MISSOURI,-0.82,-1.04,-1.10,-1.56,-2.18,-1.34
1977,MISSOURI,-3.35,-2.26,-2.56,-0.64,1.58,2.06
1978,MISSOURI,1.64,0.39,1.41,1.56,0.34,-0.80
1979,MISSOURI,1.42,0.86,1.85,1.88,0.27,-0.21
1980,MISSOURI,-1.64,-2.14,-3.03,-3.29,-3.57,-3.26
1981,MISSOURI,-2.02,0.34,3.32,3.25,2.06,2.89
1982,MISSOURI,1.35,1.94,1.76,3.54,3.24,3.03
1983,MISSOURI,4.08,3.03,1.13,-1.74,-2.60,-1.05
1984,MISSOURI,2.01,1.23,0.65,-1.22,-0.06,1.60
1985,MISSOURI,1.91,3.16,2.30,3.41,2.98,3.20
1986,MISSOURI,0.36,-0.69,-0.62,-0.64,1.46,3.20
1987,MISSOURI,-1.44,-1.78,-0.69,0.22,-0.54,-0.97
1988,MISSOURI,-1.38,-2.36,-2.27,-2.39,-2.16,-2.40
1989,MISSOURI,-1.39,-0.97,-0.05,1.01,0.97,-0.36
1990,MISSOURI,3.01,2.79,2.79,2.28,0.75,0.89
1991,MISSOURI,0.09,-1.16,-1.26,-1.77,-1.76,-1.04
1992,MISSOURI,-1.19,-1.44,1.33,1.00,1.54,0.27
1993,MISSOURI,2.67,3.03,4.77,4.76,7.07,6.46
1994,MISSOURI,3.60,2.39,1.70,1.47,0.40,-0.07
1995,MISSOURI,3.44,3.44,3.35,2.88,1.79,0.31
1996,MISSOURI,1.03,0.32,1.32,0.92,1.78,1.73
1997,MISSOURI,2.48,1.99,0.81,1.07,0.33,0.19
1998,MISSOURI,0.07,1.80,2.83,2.06,2.21,2.98
1999,MISSOURI,2.49,2.38,0.69,-0.88,-1.51,-2.13
2000,MISSOURI,-3.86,-1.58,-0.53,-0.91,-1.40,-1.79
2001,MISSOURI,-0.46,0.70,1.18,0.79,0.65,1.30
2002,MISSOURI,3.00,1.41,0.54,0.13,-1.52,-1.07
2003,MISSOURI,-1.53,-0.72,-1.20,-1.10,0.27,-0.21
2004,MISSOURI,0.75,-0.10,1.50,2.35,0.76,1.88
2005,MISSOURI,-1.24,-1.71,-1.88,-0.44,-0.67,-1.73
2006,MISSOURI,-2.71,-2.88,-2.67,-2.01,-2.26,-1.49
2007,MISSOURI,-0.42,0.25,-0.45,-0.77,-1.13,-0.88
2008,MISSOURI,3.71,4.10,4.85,4.24,5.47,5.01
2009,MISSOURI,3.53,3.51,3.77,4.19,4.08,6.47
2010,MISSOURI,3.92,3.27,4.28,3.24,4.52,2.68
2011,MISSOURI,3.83,2.85,1.19,0.59,-0.44,-1.98
2012,MISSOURI,-2.03,-2.82,-3.90,-4.31,-3.57,-3.28
2013,MISSOURI,2.60,2.27,2.02,2.18,0.81,0.91
2014,MISSOURI,-0.56,0.47,0.37,0.69,0.76,1.80
2015,MISSOURI,1.46,2.17,3.67,3.80,2.59,1.11
2016,MISSOURI,1.52,-0.35,1.34,3.18,3.11,1.96
2017,MISSOURI,2.34,1.89,1.61,2.36,0.02,-0.01
2018,MISSOURI,-0.75,-1.42,-2.07,-0.49,-1.00,0.16
2019,MISSOURI,3.80,3.84,3.90,4.66,3.89,4.52
2020,MISSOURI,4.55,3.24,4.08,3.43,,
1895,NEBRASKA,0.37,1.69,1.59,1.99,0.92,-0.35
1896,NEBRASKA,1.66,1.82,2.74,2.54,2.68,2.97
1897,NEBRASKA,2.22,1.99,1.81,2.10,0.16,2.03
1898,NEBRASKA,2.31,1.73,1.92,1.32,1.35,1.01
1899,NEBRASKA,-0.81,-0.59,-0.24,0.14,-1.00,-1.17
1900,NEBRASKA,-1.15,-2.27,-0.73,-0.20,0.08,0.43
1901,NEBRASKA,-1.91,-0.81,-2.42,-2.74,0.12,0.88
1902,NEBRASKA,-2.07,-0.37,1.92,2.56,3.36,3.47
1903,NEBRASKA,4.33,3.12,4.90,6.27,5.63,5.22
1904,NEBRASKA,1.54,2.69,3.73,4.02,3.79,4.29
1905,NEBRASKA,5.05,5.37,6.41,6.48,6.81,6.48
1906,NEBRASKA,5.51,4.36,4.39,5.07,5.24,5.92
